,imdb_title_id,weighted_average_vote,total_votes
0,tt0000009,5.9,154
1,tt0000574,6.1,589
2,tt0001892,5.8,188
3,tt0002101,5.2,446
4,tt0002130,7.0,2237
5,tt0002199,5.7,484
6,tt0002423,6.8,753
7,tt0002445,6.2,273
8,tt0002452,6.7,198
9,tt0002461,5.5,225
10,tt0002646,6.6,331
11,tt0002844,7.0,1944
12,tt0003014,7.1,948
13,tt0003037,7.0,1349
14,tt0003102,6.2,100
15,tt0003131,6.5,124
16,tt0003165,7.0,1050
17,tt0003167,5.8,187
18,tt0003419,6.5,1768
19,tt0003471,6.0,552
20,tt0003489,6.2,474
21,tt0003637,6.4,378
22,tt0003643,6.4,1105
23,tt0003657,6.5,144
24,tt0003740,7.1,3073
25,tt0003772,6.0,929
26,tt0003883,7.5,303
27,tt0003930,6.9,1161
28,tt0003973,5.8,202
29,tt0004026,6.8,1040
30,tt0004066,7.0,503
31,tt0004099,5.2,415
32,tt0004134,6.6,456
33,tt0004150,5.8,402
34,tt0004181,6.1,1239
35,tt0004457,5.5,382
36,tt0004465,6.3,939
37,tt0004635,5.7,879
38,tt0004681,6.1,178
39,tt0004707,6.3,3250
40,tt0004712,6.3,165
41,tt0004743,5.3,112
42,tt0004766,5.6,174
43,tt0004825,6.4,242
44,tt0004838,5.7,138
45,tt0004872,6.6,206
46,tt0004873,6.2,394
47,tt0004972,6.3,22213
48,tt0005060,6.4,894
49,tt0005078,6.6,2305
50,tt0005149,6.0,244
51,tt0005339,5.8,783
52,tt0005402,6.4,187
53,tt0005529,6.8,268
54,tt0005557,6.6,293
55,tt0005680,5.9,130
56,tt0005719,5.6,138
57,tt0005809,6.1,300
58,tt0005916,6.9,794
59,tt0005951,6.9,597
60,tt0005960,6.8,1110
61,tt0006206,7.3,4166
62,tt0006327,5.9,151
63,tt0006333,6.2,1501
64,tt0006509,4.5,559
65,tt0006517,6.0,283
66,tt0006589,6.8,123
67,tt0006617,6.1,199
68,tt0006688,6.4,143
69,tt0006731,5.3,609
70,tt0006736,6.6,166
71,tt0006745,5.7,479
72,tt0006753,6.6,147
73,tt0006780,6.8,836
74,tt0006809,5.9,127
75,tt0006826,5.6,837
76,tt0006864,7.8,13875
