Type,,Air,Air,Water,Water
Info,,AirQuality,AirPollution,WaterQuality,WaterPollution
Country,City,,,,
 Afghanistan,Andkhoy,50.0,50.0,50.0,50.0
 Afghanistan,Farah,100.0,0.0,100.0,0.0
 Afghanistan,Herat,43.75,56.25,68.75,31.25
 Afghanistan,Kabul,18.42105263157895,81.57894736842105,18.939393939393938,81.06060606060606
 Afghanistan,Kandahar,0.0,100.0,25.0,75.0
 Afghanistan,Mazar-i-Sharif,11.11111111111111,88.88888888888889,16.66666666666667,83.33333333333333
 Albania,Ballsh,0.0,100.0,37.5,62.5
 Albania,Burrel,100.0,0.0,37.5,62.5
 Albania,Durres,37.5,62.5,37.5,62.5
 Albania,Elbasan,0.0,100.0,75.0,25.0
 Albania,Kamez,50.0,50.0,0.0,100.0
 Albania,Kavaje,100.0,0.0,25.0,75.0
 Albania,Korce,75.0,25.0,75.0,25.0
 Albania,Lushnje,0.0,100.0,0.0,100.0
 Albania,Permet,100.0,0.0,100.0,0.0
 Albania,Shkoder,75.0,25.0,66.66666666666666,33.333333333333336
 Albania,Tirana,18.31683168316832,81.68316831683168,26.822916666666657,73.17708333333334
 Albania,Vlore,66.66666666666666,33.33333333333334,25.0,75.0
 Algeria,Algiers,39.74358974358975,60.25641025641025,39.70588235294118,60.29411764705882
 Algeria,Batna,100.0,0.0,75.0,25.0
 Algeria,Bejaia,58.333333333333336,41.666666666666664,50.0,50.0
 Algeria,Bordj Bou Arreridj,62.5,37.5,100.0,0.0
 Algeria,Boumerdes,33.333333333333336,66.66666666666666,41.666666666666664,58.333333333333336
 Algeria,Constantine,41.66666666666667,58.33333333333333,43.75,56.25
 Algeria,Djelfa,50.0,50.0,37.5,62.5
 Algeria,Ghardaia,75.0,25.0,0.0,100.0
 Algeria,Guelma,25.0,75.0,50.0,50.0
 Algeria,Khenchela,100.0,0.0,100.0,0.0
 Algeria,Medea,50.0,50.0,50.0,50.0
 Algeria,Mostaganem,75.0,25.0,25.0,75.0
 Algeria,Oran,50.0,50.0,64.28571428571428,35.714285714285715
 Algeria,Setif,50.0,50.0,0.0,100.0
 Algeria,Skikda,0.0,100.0,0.0,100.0
 Algeria,Tebessa,100.0,0.0,100.0,0.0
 Algeria,Tlemcen,68.75,31.25,62.5,37.5
 Andorra,Andorra la Vella,37.5,62.5,75.0,25.0
 Andorra,Encamp,50.0,50.0,75.0,25.0
 Angola,Luanda,15.000000000000002,85.0,18.75,81.25
 Argentina,Avellaneda,0.0,100.0,0.0,100.0
 Argentina,Bahia Blanca,58.333333333333336,41.666666666666664,41.666666666666664,58.333333333333336
 Argentina,Bariloche,83.33333333333333,16.66666666666667,58.33333333333333,41.66666666666667
 Argentina,Buenos Aires,54.264705882352935,45.735294117647065,45.15625,54.84375
 Argentina,Comodoro Rivadavia,85.71428571428572,14.285714285714278,41.666666666666664,58.333333333333336
 Argentina,Cordoba,35.0,65.0,41.666666666666664,58.333333333333336
 Argentina,La Plata,40.90909090909091,59.09090909090909,36.36363636363637,63.63636363636363
 Argentina,La Rioja,100.0,0.0,50.0,50.0
 Argentina,Lomas de Zamora,62.5,37.5,62.5,37.5
 Argentina,Mar del Plata,82.14285714285714,17.85714285714286,64.28571428571428,35.714285714285715
 Argentina,Mendoza,65.625,34.375,46.42857142857143,53.57142857142857
 Argentina,Pilar,75.0,25.0,0.0,100.0
 Argentina,Quilmes,25.0,75.0,75.0,25.0
 Argentina,Rosario,71.42857142857143,28.57142857142857,42.85714285714286,57.14285714285714
 Argentina,Salta,60.0,40.0,50.0,50.0
 Argentina,San Isidro,100.0,0.0,100.0,0.0
 Argentina,San Luis,75.0,25.0,50.0,50.0
 Argentina,San Martin de los Andes,100.0,0.0,25.0,75.0
 Argentina,San Salvador de Jujuy,75.0,25.0,50.0,50.0
 Argentina,Santa Rosa,75.0,25.0,25.0,75.0
 Argentina,Santiago del Estero,75.0,25.0,75.0,25.0
 Argentina,Viedma,100.0,0.0,25.0,75.0
 Armenia,Metsamor,0.0,100.0,50.0,50.0
 Armenia,Vanadzor,25.0,75.0,50.0,50.0
 Armenia,Yerevan,41.810344827586206,58.189655172413794,65.0,35.0
 Australia,Adelaide,88.84803921568627,11.15196078431373,75.39473684210526,24.605263157894736
 Australia,Albany,84.375,15.625,68.75,31.25
 Australia,Albury,95.0,5.0,91.66666666666667,8.333333333333332
 Australia,Alice Springs,65.625,34.375,71.875,28.125
 Australia,Ballarat,89.0625,10.9375,76.66666666666667,23.33333333333333
 Australia,Bathurst,91.66666666666669,8.333333333333314,62.5,37.5
 Australia,Bendigo,0.0,100.0,0.0,100.0
